@RELATION knee_OA_GLCM_SOFT_ROI

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {OA,no_OA}

@DATA
0.17002963878643004,0.35385966610667235,0.3196656852445019,0.17784755477213668,0.5517174049567366,0.062431112518474864,no_OA
0.23020938594824378,0.4205385465284915,0.26062631808112136,0.13693521549857687,0.5395721536324296,0.0436603606088461,no_OA
0.09859217777897536,0.22569391504042657,0.521443500967625,0.36081695895928967,0.5045682461028326,0.17894132724268827,no_OA
0.10511698346682971,0.23957959378425847,0.49383285325195003,0.3194757053115834,0.4765635868925889,0.14795420124912392,no_OA
0.1460925109428207,0.32103141605952035,0.3443969823013837,0.2408616910084462,0.5575842609947287,0.09655426266852822,no_OA
0.15490215318953768,0.34038709042828974,0.31617342802861614,0.18736072256384648,0.5261139630877929,0.06719906163173005,no_OA
0.15977212172039942,0.3509858002364252,0.30261970581133535,0.20981006142195904,0.5030592265944234,0.0789378137088532,no_OA
0.3562883044109081,0.5530690071060742,0.15893136554372822,0.1069354300917465,0.47396651617876273,0.031560919873668214,no_OA
0.37313484286869525,0.5759061029019945,0.1350736654296063,0.11310154744112488,0.3263823163531471,0.03393444631836827,no_OA
0.19905807262071845,0.3791086233459587,0.30993409442538344,0.21836073802830083,0.4609485517884106,0.08361897459851589,no_OA
0.21203045692438796,0.391458500460038,0.2903501401741342,0.19358114283268066,0.456687106522105,0.07033852378492032,no_OA
0.22275298531526308,0.41801328507929464,0.2670976710035907,0.19911929400658937,0.34028311571747066,0.0736567986251227,no_OA
0.1498376575781485,0.305415920350077,0.39902833534501014,0.22915436753556598,0.6564234235120012,0.09004771970669116,no_OA
0.23430997987737592,0.44029611518357664,0.21517246317273375,0.10386999235666713,0.7202031606473132,0.03045953518861603,no_OA
0.2892608964169615,0.4708121216779551,0.23323156259329614,0.15529056436917324,0.3520306222302004,0.05175994944702398,no_OA
0.2525059002474969,0.45656923397499866,0.19809656731346936,0.16020575401200718,0.27921114853856455,0.05398148973986846,no_OA
0.23381335159010266,0.4382154347442821,0.21465919579688741,0.15042822729671487,0.37530340837319554,0.049523158255454634,no_OA
0.194811523442903,0.3580833503194906,0.3535958567636983,0.21958077058206457,0.6629469873714452,0.0842813761038741,no_OA
0.29547903358369043,0.4830687635226773,0.2435904320878748,0.13468615309681006,0.663346106754331,0.04268230111657194,no_OA
0.3104296600792475,0.47633896796747116,0.2635669009087327,0.1602678762574701,0.7019584749613872,0.054121015296345214,no_OA
0.3634545725191617,0.5499162000761977,0.18065239834861757,0.09726804267396272,0.4525493265684094,0.027956343387711857,no_OA
